City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
173,Ahipara,-35.1667,173.1667,58.24,60,100,16.58,NZ,overcast clouds
174,Puerto Escondido,15.85,-97.0667,79.63,78,0,5.75,MX,clear sky
175,Sistranda,63.7256,8.834,62.56,77,100,11.7,NO,overcast clouds
176,Wakkanai,45.4094,141.6739,47.44,96,47,10.85,JP,scattered clouds
177,Poya,-21.35,165.15,73.98,92,21,6.73,NC,few clouds
178,Kruisfontein,-34.0033,24.7314,55.89,90,100,12.28,ZA,light rain
179,Motygino,58.1831,94.7592,57.18,55,20,2.77,RU,few clouds
180,Hanko,59.8333,22.95,55.06,81,100,22.1,FI,overcast clouds
181,Trincomalee,8.5711,81.2335,84.43,71,40,18.3,LK,scattered clouds
182,Noumea,-22.2763,166.4572,78.01,99,93,14.74,NC,overcast clouds
183,Ostersund,63.1792,14.6357,59.45,55,0,3.44,SE,clear sky
184,Kalmunai,7.4167,81.8167,86.56,68,81,2.15,LK,broken clouds
185,Mahajanga,-15.7167,46.3167,89.62,43,20,6.91,MG,few clouds
186,Alofi,-19.0595,-169.9187,69.69,100,85,1.14,NU,overcast clouds
187,Reconquista,-29.15,-59.65,58.71,61,0,10.47,AR,clear sky
188,Birjand,32.8663,59.2211,86.47,7,20,18.41,IR,few clouds
189,Leh,34.1667,77.5833,51.71,39,99,9.28,IN,overcast clouds
190,Yar-Sale,66.8333,70.8333,34.41,95,100,24.72,RU,light snow
191,Lisakovsk,52.5369,62.4936,58.93,39,100,7.96,KZ,overcast clouds
192,Lugovoy,42.9472,72.7644,69.75,60,100,6.35,KZ,heavy intensity rain
193,Svetlogorsk,52.6333,29.7333,68.13,65,100,3.58,BY,overcast clouds
194,Karangasem,-8.45,115.6167,79.75,85,100,4.07,ID,overcast clouds
195,Mitsamiouli,-11.3847,43.2844,81.39,69,77,5.46,KM,broken clouds
196,Bac Lieu,9.285,105.7244,83.07,77,98,8.39,VN,overcast clouds
197,Kulachi,31.9286,70.4592,97.05,16,0,27.27,PK,clear sky
198,Hays,30.0502,-98.0336,78.94,79,100,5.01,US,overcast clouds
199,Necochea,-38.5473,-58.7368,53.73,52,63,15.14,AR,broken clouds
200,Lebu,-37.6167,-73.65,53.83,86,70,10.29,CL,broken clouds
201,Hilo,19.7297,-155.09,83.28,91,100,3.44,US,overcast clouds
202,Lasa,46.6166,10.7002,80.69,45,76,4.29,IT,broken clouds
